evidence_id,evidence_type,building_id,link_method,reason,filename,source_collection,caption,original_image_url
iitk_rc_001,image,bldg_bb872a116f28,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_001_Skj0_23.jpg,IITK_NICEE_Bhuj_RC,Total collapse of a portion of a 10-storey residential building in Ahmedabad.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj0_23.jpg
iitk_rc_002,image,bldg_bb872a116f28,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_002_Skj0_26.jpg,IITK_NICEE_Bhuj_RC,Total collapse of a portion of a 10-storey residential building in Ahmedabad.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj0_26.jpg
iitk_rc_003,image,bldg_b8f8e8343844,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_003_D02_10.jpg,IITK_NICEE_Bhuj_RC,Pancake collapse of 4-storey L-shaped RC framed school building in Ahmedabad.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D02_10.jpg
iitk_rc_004,image,bldg_a961c393a6a9,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_004_D23_06.jpg,IITK_NICEE_Bhuj_RC,Collapse of open ground storey RC frame residential building in Bhuj.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D23_06.jpg
iitk_rc_005,image,bldg_358571967395,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_005_D23_05.jpg,IITK_NICEE_Bhuj_RC,Numerous cases of dislodging of the weakly connected overhead storage water tanks were observed in the entire earthquake affected area. Picture shows dislodging of water tank appendages from atop unfinished and finished RC frame buildings in Bhuj.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D23_05.jpg
iitk_rc_006,image,bldg_ddd9ee87dfa9,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_006_D25_04r.jpg,IITK_NICEE_Bhuj_RC,Collapse of intermediate storey in a 6-storey RC frame commercial building at Bhuj.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D25_04r.jpg
iitk_rc_007,image,bldg_4af6459c95a8,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_007_D27_01.jpg,IITK_NICEE_Bhuj_RC,Ground storey collapse of a 4-storey building with open ground storey at Bhuj.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D27_01.jpg
iitk_rc_008,image,bldg_a34168536ec8,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_008_skj5_02.jpg,IITK_NICEE_Bhuj_RC,Most RC buildings with open ground storeys that collapsed showed a very common practice of poor detailing; 6mm diameter lateral ties in the columns with 90o hooks and longitudinal spacing as large as 30cm. This did not provide the required confinement to the core concrete.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj5_02.jpg
iitk_rc_009,image,bldg_5091682fe67f,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_009_D43_06.jpg,IITK_NICEE_Bhuj_RC,Collapse of a portion of 6-storey residential building at Anjaar; the portion that collapsed had an open ground storey.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D43_06.jpg
iitk_rc_010,image,bldg_ef54dbdde947,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_010_D04_06r.jpg,IITK_NICEE_Bhuj_RC,"Collapse of one-half of the 14-storey RC frame residential apartment building in Ahmedabad; the collapsed portion had a swimming pool on the roof, unlike the other half that is standing.",https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/D04_06r.jpg
iitk_rc_011,image,bldg_7b1f93e6f96e,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_011_Skj4_21.jpg,IITK_NICEE_Bhuj_RC,"At Gandhidham, the right building had ground storey collapse. The two buildings shared a common wall.",https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_21.jpg
iitk_rc_012,image,bldg_7b1f93e6f96e,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_012_Skj4_18.jpg,IITK_NICEE_Bhuj_RC,"At Gandhidham, the right building had ground storey collapse. The two buildings shared a common wall.",https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_18.jpg
iitk_rc_013,image,bldg_b5ff25ec78f3,caption_group,Image belongs to a same-caption group inside one source collection.,iitk_rc_013_Skj4_32.jpg,IITK_NICEE_Bhuj_RC,Collapse of upper storey of buildings at Gandhidham. It is suspected that this may have been caused by inadequate lap lengths in the column reinforcement.,https://www.iitk.ac.in/nicee/EQ_Reports/Bhuj/Skj4_32.jpg
